id,name,artist_popularity,followers,genre
6GkSLJj5CGLIckLIb8J4LR,Late Night Fights,0,184,minneapolis punk
1N0VwQy5PRJymrRvlRzDIj,Sub Par All Star,0,491,antiviral pop
4Ch4BIKKwMJsiu1oVLDwpX,Nirvana Meditation 8D,0,56,8d
5h2iINTOvhghVcpIzrztPP,Red Hot Rebellion,0,394,action rock
7dE2MLL2SaI6MujpU5HFVi,Nirvana Tribute Band,0,230,tribute
2cdjmWomWpKyQ0Hqge3dVc,Wyli P,0,7479,memphis hip hop
5g1ztx52qgchXwiRZYnxT4,Caul,1,688,dark ambient
3NjmnKYEuN92YZiWVsksy7,Chicago Blues All Stars,1,730,chicago blues
3hqLYpiTCdvz5lG3YHvi4v,Lew Lewis & The Twilight Trio,1,500,neo-rockabilly
06hu6DFeD2bfdBAts05Vjh,Lower Life Forms,1,169,deep east coast hip hop
1DyHyc6v28ZCrA7QlO3YrQ,Whoopee John Wilfahrt,1,211,polka
3DnNVpLZI0vFQCYIiRmNBR,Dieter Kropp,2,170,german blues
6XblJ5Nas2VsL9s5H9o2YJ,Chilli Willi & The Red Hot Peppers,2,1605,pub rock
4BTddjd5LzqjQ5WAViSw0g,Abronia,2,1123,cascadia psych
1o9N4cb5eZ5x2HLOOrLFIh,Trio Fibonacci,3,195,classical piano trio
112gcdWQhFcd3clCqWyG53,Thomas Erak and The Shoreline,3,1429,swancore
2ay2iSqgCqEQHzRlfURw3t,Little Rachel,3,443,neo-rockabilly
62XaAZIhLNRc3x1KBjzZrI,Bad Actress,3,761,nwocr
2DEKbExrCn2gANebrwCdKn,Jacob Anderskov,4,402,danish jazz
68D0NSkqx99hNYB26njylb,M1CK3Y,4,142,future bounce
4HSlSHDfb3ceY7LxfLM7Gy,Cubic Nomad,4,1068,doomcore
6pE6WjaGLjkatxCY7ie3x3,Red Hot Blues,4,170,blues band
1pFgLnwVfIZh0Qztd0LYqY,Gentle Hen,4,378,western mass indie
3M0uIt6ulZiqlVEdWGojXs,Nirvana Cafe Ambient Healing Meditation Sounds,4,642,meditation
7w9LYhrm2Sw5G2xW0SPDm7,Abraham,4,2093,atmospheric sludge
5KZkt6YYK9c2q0twZofJXk,The Hi-Ballin' Daddies,4,674,rockabilly en espanol
2SyevwE69Tq3LYIesEeeTI,"St. Symeon Orthodox Church Trio ""Antiphony""",4,130,orthodox chant
0HTFP9cTQxcOAHuVOXh06y,Zen Reflection,5,577,zen
6fTUOi1EcpgGqKl4Q4UE2N,Toshiro Mayuzumi,5,1156,japanese classical
6QZyblRz5byKROc6kBjUdV,Heart-Shaped Tracks,5,1356,brazilian soul
4Boq3PQCNvXqTVu9yGHaDY,Harper's Dixieland Marching Band,5,235,dixieland
0F155RyWAEaj0UoTZX6lk2,Yung Caters,5,251,indonesian emo rap
27kz8ieduFE45c5rdyHcxj,Colin Grant,5,540,canadian celtic
2c9sol8NSNRs68cB999yWc,Nukumachi,5,985,future funk
3foOUc5xHUnus4MJiAKlBb,Holy Molar,5,4873,noise rock
75AqhRq4n2mgow58AcHe5m,DAYNE OTB,5,562,oc rap
4bvhXclJ3OBBhlTxHjrh4k,Nirvana Seekerz,5,715,deep german hip hop
2Acjtki9xGNwsweZVFx6Ed,Turned Around,5,557,future bounce
01j1tgusZmVecaU1DEiCm3,Elkhorn,5,2010,american primitive
30ObKAnApeMHxPjHh4JcVp,Mike Walker,6,606,progressive jazz fusion
3zyLtDE21BNWJagUl4HWzu,Pinkish Blu,6,1951,adelaide indie
3fItWgQLOB2iMi4tTiWSAM,Day Spa Academy,6,247,spa
1DmVFcr4tL6md0PI5kQXeQ,The Amalgamates,6,873,college a cappella
1Q0YmlkGHjPScVSTf2k73c,Unit,6,736,bolivian rock
34u51KUR8vtXeHTAy1HbFe,Ajeezay,6,112,afro drill
6tLJIJTUJ6Lw39JYAJF8rh,Red Hot 'n' Blue,6,1638,neo-rockabilly
73RmVTPm4JCwKXXZz2V7yW,G-laspada,7,281,r&b italiano
0CqyREwcnKy21Xw0GMJvrv,Martyrs of Apathy,7,3105,furry
7fHq8IdkLznqRvSblfspaY,The Californicators,7,2354,tribute
0dH7U9VsdBan1K2G183OeH,TANGTHEAWESOME,7,958,k-rap
6jVNUhgWoitJUJLW4z3uXn,Boozoo Chavis and the Magic Sounds,7,661,swamp pop
70zIBj1LPAcTOiXhsborws,Salem's Corydalis,7,355,bedroom skramz
3MdfTLP37BeIe7SYAUBU4n,Oppenheimer,7,984,northern irish indie
6Sj7Arx0sQvCZVE2m7bcmQ,Origami Girl,7,1188,hardvapour
70xVEpgMP5GXlfPHRRP7yI,Victoria Vox,8,1358,oc indie
781q5ZxaDpe00poI3GHe4l,Saudin,8,6872,trap soul
3nBrzaslVeGq206xtZc9T7,Dudley Simpson,8,718,hauntology
3LBXtcf7iF5hyveaDJolc6,The Hedgerow Folk,8,1104,christian indie
3gdrmfWscdd6Wryv01umtl,Wild Side,9,3108,canadian hardcore
0PxGLHB81l8ssB5c925INV,Buddha Zen Trance Chillout Trip,9,932,zen
2JxhAwKLNNIh6meIakGq0c,I$$A,9,804,portland hip hop
3lbwPBln41G2m3d93rxA3T,Chubby Carrier,9,2270,swamp pop
56CJNGsRT9pO48GtRlxla2,Sandy Dish,9,746,melbourne punk
5AXPdt3zknCylvlnEi0JFO,Emptiness,9,5449,belgian black metal
246DV2fjrMTWTOSqr5kmoI,Andria Piperni,9,11419,canadian contemporary r&b
5cuchPK6eJYdjYLNiiRk29,Symphony in Peril,9,5290,christian hardcore
74jySy1xqz54nK2yy9zZu6,Johanna Beekman,9,3230,kirtan
3KtTL5aW0McOxqcBS5afO5,Imre Fia Imre,9,360,hungarian rock
4CO7qgV1BusQBS6uyi06Ff,John Eddie,10,1985,heartland rock
2EBCJ8wwWpJXAyjVoiwCw8,Versing,10,3199,seattle indie
5MSaBAloTJh6Dcrr7hLsbU,The Wee-Beasties,10,728,denton tx indie
1u3p7gbSruazLLj9ibDQ6X,The Wholls,10,4106,modern alternative rock
5qGFrApDaIkbuaZiikcipl,Stressor,10,2504,deep psychobilly
5S3gRXHi1WrUadDR9IUwTN,The Red Krayola,10,7244,experimental rock
1dSmNTC4h28UW5uiEIEVQl,Whoopee John,10,488,polka
6329ULqnLbRWcDIPaVPEmM,The Whole Thing,11,569,acid jazz
49df9GxS8cxjmN8fBZatuE,Blue Fringe,11,3665,judaica
18p7UHafQD6tWVcAOfoW5F,Keff McCulloch,11,258,british soundtrack
6wok7L7GfBNS0nOltwmopD,The Great Honourable Lord Pretender,11,648,calypso
0Wtw3fqrmqjQ5akqbrS6P5,Dear Whoever,11,7184,screamocore
4St65YtRYE8w73lrc1GNKM,Red Hot Chili Peppers Tribute Band,12,1284,tribute
5lKonzRKCeaS0eU5vdziO1,The Whole Darn Family,12,1726,rare groove
50FVnNkMq8PzJFSSmEAx8K,K Kutta,12,1195,miami hip hop
6n0xdBqSuPm9UcdOAnQgwg,Stylee,12,120,urbano chileno
3ARyhbeNWaIZTGRTDZ8IG1,Sybarite5,12,1243,cello
6T9NZn7NuoOPoyNJaBXav7,Levi Roots,13,979,uk reggae
5c4ikaZ8nPKn10NLZZCF0I,Rounak Maiti,13,5107,indian indie
0wNomLWF4Yg4XN2hHlP3Cz,The Whoops,13,5652,japanese alternative rock
3m7kkYCoZ7yaJB00zs0Jok,Lo-Fi-Fnk,13,9585,electrofox
4EiPFgA46SMqLtTSH2xopt,Red Hot Max,13,1839,swedish rockabilly
2bTEeKchSSupVDeN8VHe16,The Whoridas,14,4166,g funk
6U7okwARNlqMsPEvrtcNO6,Among The Thirsty,14,4771,german ccm
61NG8y3bPFr4CoTldEk6WU,Paolo Angeli,14,3860,deep free jazz
